snapshot_id,run_id,url,content_hash,last_modified,status_code,changed_flag,observed_at
50,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-cost-stack,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.074169+00:00
51,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-market-2026,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.075368+00:00
52,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-seo,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.076554+00:00
54,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/video-strategy,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.079777+00:00
57,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Growth,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.083767+00:00
55,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Local+SEO,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.081380+00:00
56,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Performance,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.082574+00:00
58,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Real+Estate,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.084941+00:00
48,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=SMB,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.071831+00:00
19,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/lawyers,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.038469+00:00
24,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/med-spas,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.044479+00:00
15,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/orthodontists,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.033635+00:00
9,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/plumbers,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.023418+00:00
40,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/privacy,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.062879+00:00
4,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/smbs,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.015186+00:00
44,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/terms,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.067135+00:00
29,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/vets,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.050549+00:00
